experience,test_score,salary
3,80,76100
5,84,85600
6,74,82000
8,85,107200
2,73,69700
12,66,114000
8,67,96200
4,70,91100
5,75,77700
2,60,63500
8,74,91700
11,83,84200
7,61,86800
7,83,93400
28,62,164800
5,77,83000
6,78,92000
4,83,85200
6,69,84000
4,84,89500
2,91,72800
1,61,59600
8,74,93000
1,84,60700
18,75,128200
2,82,70800
7,79,82600
4,64,84500
8,65,93500
11,69,112000
3,60,70200
2,78,72300
6,70,88500
13,75,115800
10,71,98500
8,79,96300
21,63,157500
21,78,148600
7,79,86300
7,79,101000
7,83,96500
3,78,73600
7,69,81100
5,98,94100
8,79,81500
19,69,154300
8,88,96500
1,96,75600
5,49,68100
6,73,98700
11,76,96400
2,46,56700
11,85,117300
10,65,95600
3,82,87200
18,71,134300
17,80,146400
5,77,74200
9,77,95500
8,68,77600
12,51,103400
6,71,81700
8,92,94900
9,75,106500
4,53,82500
12,78,119200
6,73,102400
13,53,108600
4,82,95500
3,71,68600
5,85,100800
6,92,96900
1,75,76400
10,71,113600
11,61,109800
12,59,98200
2,70,73100
6,73,69500
3,59,64900
4,82,65300
7,66,78300
8,66,77200
5,72,79800
6,90,90400
4,55,61100
6,85,86400
14,78,123400
18,72,131600
5,61,91300
11,74,100600
6,87,85900
4,74,74300
8,64,102000
3,76,63200
8,60,81500
8,49,93500
8,86,88900
6,97,95100
4,79,82700
4,72,78600
8,76,93500
6,78,78300
13,74,104800
4,77,78400
4,82,85200
6,57,71300
11,71,102600
10,81,94600
12,86,118100
15,83,130400
11,65,99200
10,90,109000
6,78,88100
7,62,74500
6,56,77600
2,64,64800
12,81,107200
10,82,100200
13,64,116400
9,83,104400
6,82,93000
1,70,47900
1,68,64600
18,77,128300
14,57,107800
5,70,75000
12,66,116800
6,73,101400
9,75,96300
2,82,73200
4,77,67300
10,79,111200
7,94,107700
22,67,158700
24,72,164200
8,72,96900
6,76,94200
7,79,81300
10,82,106300
2,65,83900
4,86,92700
14,60,107200
4,77,62000
5,99,94600
10,83,114100
9,66,85900
12,100,118300
13,80,113600
3,80,77600
9,82,91200
0,69,62000
3,83,77200
12,78,111000
1,79,73300
9,76,94600
6,62,89700
3,96,93100
4,73,82200
12,75,124700
1,62,61400
17,90,138500
5,75,74200
15,85,137300
8,74,87700
7,81,100000
5,61,74100
8,87,99900
3,75,78300
2,77,77000
4,100,84800
3,74,80000
13,74,111700
4,87,80400
9,54,88400
2,88,74100
4,100,96000
7,91,88800
2,79,67900
5,90,84600
4,69,68800
7,88,85800
11,76,95800
6,63,72700
10,73,97300
3,78,61400
21,60,133000
0,69,51600
2,70,84400
8,72,110200
9,67,106800
7,62,108500
17,82,134900
3,67,74700
6,50,72300
13,72,111300
10,77,104700
15,72,112700
4,64,60700
8,79,96300
7,80,76400
13,100,125400
6,52,83400
5,46,66200
3,77,85000
2,72,76700
2,74,76400
4,70,80100
4,98,75600
9,65,104400
11,64,106300
12,71,107200
3,95,86900
2,85,73400
16,59,119600
4,95,97500
8,69,90700
11,73,116700
10,76,99900
8,71,86900
12,78,107100
1,76,74000
3,99,80600
6,77,96200
7,75,87600
7,80,85400
7,89,96200
4,57,87000
5,57,81600
17,90,126400
5,72,86500
16,76,126000
8,100,97500
2,43,78900
5,66,78000
9,81,116000
5,63,83700
16,72,137500
9,72,116100
4,74,71500
10,82,108500
3,87,82300
10,81,111900
6,63,86900
7,65,85100
4,53,72200
25,74,161400
14,65,109200
16,70,116500
19,75,141900
4,69,78100
3,84,80300
16,62,128700
6,74,88200
2,76,74600
13,67,111000
1,73,67100
12,74,103600
4,60,84200
4,95,80600
16,89,138700
10,81,96400
5,56,67900
3,79,87000
6,86,78800
9,84,108700
3,98,83400
6,51,71600
11,81,111100
6,76,84300
6,71,88300
9,81,94500
16,59,120600
4,64,72300
7,85,99400
15,82,107500
1,80,50100
12,59,108000
7,100,93800
7,57,100600
7,80,86300
5,86,98000
2,69,73100
9,84,114100
9,88,97500
8,88,86200
14,63,110700
14,84,125400
8,84,95200
6,94,88800
13,78,105100
10,58,104800
1,100,83500
8,76,97500
2,71,60100
4,77,84000
16,91,131500
14,76,105900
4,82,79000
10,59,112100
6,67,82500
15,85,126600
5,70,67200
10,87,99600
1,61,60100
6,56,90700
4,55,78700
15,72,122300
7,86,87600
7,64,75100
11,72,103600
6,73,81600
4,75,84300
12,74,112500
11,68,106800
7,66,88900
8,81,99200
3,75,71200
3,71,71500
24,78,162000
6,80,82200
15,100,136000
20,77,140600
3,72,65200
4,100,73400
5,64,80300
5,69,74800
1,68,61700
9,71,95500
12,70,117900
8,94,97200
5,90,90300
8,59,85500
2,87,67900
3,79,79300
4,73,84200
4,81,81800
2,69,77400
4,78,75100
1,78,63200
5,74,96600
15,71,126200
19,85,137500
3,56,63900
8,73,98400
9,58,93900
18,70,126400
5,85,91300
1,57,66900
6,55,81800
6,68,99200
7,87,108900
5,75,79800
19,96,136600
5,82,83700
10,58,93500
15,70,120600
12,76,113000
16,78,121000
13,57,123100
10,83,101700
10,80,110100
15,72,118500
2,79,73100
2,74,65300
4,65,68100
7,76,78800
10,73,105900
18,73,148200
9,86,99300
13,97,115100
3,80,76000
6,70,89900
14,74,110800
11,86,115100
8,73,91700
7,67,105400
6,75,93300
5,100,100300
1,72,71200
6,92,98800
4,72,69200
14,84,119500
9,69,78900
16,75,120200
6,78,83600
5,65,74500
6,76,79200
4,73,84200
7,77,85800
4,74,79700
6,68,76600
4,60,58600
10,86,119000
6,74,73100
2,68,65300
2,86,75400
15,78,111000
8,94,98500
10,69,101500
2,87,66200
12,86,121000
8,58,98400
5,61,81400
11,86,123500
5,78,76900
1,82,76900
9,83,111600
0,58,57400
11,83,111400
14,87,106600
28,55,169300
9,70,95800
3,75,75100
6,100,89400
9,60,91400
7,71,81300
5,76,90500
2,73,84300
1,78,70000
26,58,158500
5,91,82400
4,56,70800
13,80,122500
7,83,92200
8,83,105000
13,100,117200
13,63,121200
19,66,136700
2,63,63300
9,71,98800
2,80,81800
7,65,83900
8,90,86900
7,86,87200
11,88,114000
8,58,95600
12,91,104500
8,88,97800
4,76,71400
1,71,64900
3,100,84300
9,71,91400
24,63,155300
1,90,71000
10,85,111000
3,56,78700
6,74,91900
3,75,79600
9,74,109700
8,75,103400
6,77,94000
3,53,66100
9,76,99800
5,63,86400
17,96,153200
3,80,77900
7,83,94200
5,75,78800
10,61,101700
10,75,102000
6,74,93200
8,54,90200
4,77,72500
5,49,70900
6,81,69100
5,89,91100
13,91,129300
1,80,48300
8,81,87800
1,83,46700
21,62,153700
8,59,88700
7,74,72400
4,81,73100
7,73,77600
5,76,88800
3,63,87100
8,72,96000
6,55,71900
3,72,70100
5,73,97700
13,84,113200
4,73,84300
10,81,94800
7,55,82500
9,66,101800
8,55,86000
3,73,73300
3,73,61300
10,79,110100
9,74,100900
10,81,109200
20,73,131000
7,64,104000
13,91,122700
16,65,119100
1,63,67600
5,71,93800
8,86,87000
4,80,89200
2,85,64200
7,79,85200
2,69,70000
16,68,133100
4,86,83000
4,66,73600
21,58,145900
9,61,87100
5,69,71600
8,55,109400
4,83,78300
12,71,105000
8,55,77900
3,68,84300
1,80,69600
5,84,70600
8,83,107500
10,77,95500
5,81,87000
1,57,52000
19,94,139000
1,64,70000
4,77,79800
2,64,53900
9,81,95900
5,89,85500
3,69,65900
5,70,73900
8,76,92700
11,75,96900
5,58,72100
10,91,115300
9,84,105500
7,89,96400
3,68,63000
10,68,104200
13,73,106700
4,72,74400
6,74,93700
16,75,128900
5,59,76100
9,75,104700
10,83,103700
24,64,152100
11,71,104400
5,63,70900
4,64,73700
2,70,70100
17,72,134900
8,65,101500
7,75,85000
2,88,59400
6,54,82400
3,86,83100
4,78,91600
5,73,86700
5,70,76400
2,100,73000
12,73,95500
10,57,88300
6,90,88200
8,57,82400
6,70,79700
5,59,78700
18,70,142900
13,68,115100
19,90,148500
1,94,65500
11,64,116200
3,76,72400
4,78,93900
12,62,102900
16,91,141600
3,67,68100
8,68,94900
13,87,106500
7,94,91400
5,66,55800
15,79,128900
5,69,86100
5,71,100500
1,76,69700
7,74,89600
8,79,98500
14,75,114400
6,85,86600
14,91,126700
4,76,85300
2,57,59100
11,66,100600
11,75,106200
5,77,80600
16,70,120600
5,70,85800
8,100,102100
5,69,78900
8,90,84800
10,74,111200
10,69,94200
3,96,86200
6,63,76000
6,75,90300
3,72,70100
7,68,80700
11,90,106400
1,74,70300
5,63,72000
8,63,103200
11,92,117700
9,88,111400
4,90,87500
3,72,68700
8,73,88700
4,59,72600
4,51,65800
4,74,81400
9,86,96600
5,59,65300
11,73,108400
7,50,78600
14,74,113800
17,81,147300
24,86,165500
6,69,81200
7,66,77500
23,74,148000
1,45,50900
3,77,85400
6,80,83100
5,77,94800
9,76,98200
4,63,76500
15,81,121800
3,71,73900
11,73,111700
2,73,62400
7,80,89200
8,76,103100
4,78,83900
5,56,79900
4,73,71200
5,59,75900
10,74,108200
9,66,91300
4,77,71700
19,70,130200
3,70,79700
4,100,93300
2,62,53700
5,71,86800
6,90,89200
7,58,77800
4,61,73000
6,88,81500
5,56,86000
3,74,72700
16,92,146600
5,56,78400
7,71,102200
5,76,84600
8,66,105400
