ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status
38684,Haryana,Gurgaon,Locality_123,Independent House,4,692,256.62,0.37,2022,Semi-furnished,15,24,3,6,6,Medium,Yes,No,"Playground, Pool",South,Builder,Ready_to_Move
64940,Andhra Pradesh,Vishakhapatnam,Locality_74,Apartment,2,3094,86.04,0.03,2015,Furnished,3,18,10,3,8,Medium,No,No,"Gym, Clubhouse, Pool, Garden",South,Builder,Under_Construction
3955,Madhya Pradesh,Bhopal,Locality_486,Apartment,3,4993,237.86,0.05,1995,Unfurnished,19,27,30,10,1,High,No,No,"Gym, Pool, Playground, Clubhouse, Garden",West,Owner,Ready_to_Move
120375,Punjab,Ludhiana,Locality_13,Villa,1,2461,339.41,0.14,2018,Semi-furnished,20,14,7,10,5,Low,Yes,No,"Pool, Gym",South,Owner,Under_Construction
172862,Haryana,Faridabad,Locality_22,Independent House,2,4535,124.99,0.03,1991,Semi-furnished,25,5,34,5,9,Medium,No,Yes,Pool,South,Builder,Under_Construction
149304,Delhi,New Delhi,Locality_62,Villa,1,3228,35.17,0.01,2019,Semi-furnished,7,13,6,7,7,Low,Yes,No,"Clubhouse, Gym",West,Owner,Under_Construction
111627,Madhya Pradesh,Indore,Locality_248,Apartment,1,3461,275.75,0.08,2002,Furnished,11,6,23,2,8,High,No,Yes,"Playground, Pool, Gym, Clubhouse, Garden",North,Broker,Under_Construction
164554,Maharashtra,Pune,Locality_464,Apartment,3,2653,374.76,0.14,2020,Unfurnished,3,21,5,9,9,Low,Yes,No,"Pool, Clubhouse, Playground, Gym, Garden",East,Builder,Under_Construction
55780,Karnataka,Bangalore,Locality_215,Villa,3,2217,476.35,0.21,2020,Semi-furnished,11,7,5,9,8,Medium,No,No,"Garden, Playground, Gym, Clubhouse, Pool",South,Broker,Under_Construction
141991,Jharkhand,Jamshedpur,Locality_127,Apartment,3,4974,208.0,0.04,2007,Unfurnished,21,19,18,9,4,Medium,Yes,No,"Garden, Playground, Gym, Pool",South,Owner,Under_Construction
176729,Tamil Nadu,Chennai,Locality_346,Villa,2,2270,256.17,0.11,2003,Unfurnished,11,4,22,3,7,Medium,No,Yes,"Clubhouse, Playground",West,Broker,Under_Construction
22050,Karnataka,Mangalore,Locality_283,Villa,3,3471,232.85,0.07,2015,Unfurnished,21,26,10,7,10,High,No,No,"Playground, Garden, Pool, Gym",West,Owner,Under_Construction
77432,Chhattisgarh,Raipur,Locality_226,Apartment,5,569,297.51,0.52,1998,Unfurnished,22,5,27,6,10,Low,Yes,Yes,"Gym, Playground, Pool, Clubhouse",East,Owner,Ready_to_Move
111500,Chhattisgarh,Raipur,Locality_231,Villa,4,4296,251.02,0.06,2022,Furnished,10,22,3,6,6,Medium,No,No,Clubhouse,East,Broker,Under_Construction
228765,Kerala,Trivandrum,Locality_14,Apartment,2,4424,355.61,0.08,2008,Furnished,22,20,17,4,3,Medium,No,Yes,"Garden, Gym, Playground, Clubhouse",South,Broker,Ready_to_Move
29676,Delhi,New Delhi,Locality_38,Villa,3,2257,188.68,0.08,2011,Furnished,12,21,14,1,8,High,Yes,No,"Gym, Playground, Pool, Garden, Clubhouse",South,Owner,Under_Construction
36727,Tamil Nadu,Coimbatore,Locality_311,Villa,2,4675,418.06,0.09,2006,Unfurnished,15,15,19,4,7,High,Yes,Yes,"Pool, Playground, Clubhouse",West,Owner,Ready_to_Move
75960,Chhattisgarh,Bilaspur,Locality_409,Independent House,5,2310,425.27,0.18,2010,Semi-furnished,23,23,15,6,7,Medium,No,Yes,"Gym, Playground, Clubhouse, Garden, Pool",West,Owner,Under_Construction
247466,Madhya Pradesh,Indore,Locality_83,Apartment,2,4718,282.46,0.06,2010,Semi-furnished,9,7,15,9,2,Medium,Yes,Yes,"Pool, Clubhouse, Garden, Playground",North,Builder,Under_Construction
128857,Odisha,Bhubaneswar,Locality_108,Independent House,2,4672,55.67,0.01,2012,Furnished,27,24,13,4,3,Medium,No,No,"Garden, Gym",North,Owner,Under_Construction
34525,West Bengal,Durgapur,Locality_385,Independent House,5,2729,203.63,0.07,1997,Semi-furnished,26,24,28,10,4,Low,Yes,Yes,"Clubhouse, Garden",North,Owner,Ready_to_Move
114952,Andhra Pradesh,Vijayawada,Locality_106,Apartment,3,4123,411.87,0.1,2019,Furnished,26,3,6,6,3,High,Yes,No,"Playground, Gym, Clubhouse, Garden",East,Owner,Under_Construction
101079,Bihar,Gaya,Locality_351,Villa,1,4253,262.67,0.06,2002,Furnished,11,15,23,9,9,High,No,Yes,"Clubhouse, Gym, Playground, Pool, Garden",West,Builder,Ready_to_Move
209307,Andhra Pradesh,Vijayawada,Locality_283,Villa,5,1875,67.4,0.04,2006,Semi-furnished,9,6,19,10,7,Low,No,No,"Clubhouse, Playground, Garden, Gym, Pool",South,Builder,Under_Construction
123692,Punjab,Ludhiana,Locality_292,Villa,5,650,270.94,0.42,1992,Unfurnished,22,21,33,3,6,High,Yes,No,"Pool, Garden, Gym",North,Builder,Under_Construction
120450,Maharashtra,Mumbai,Locality_411,Apartment,3,3283,393.06,0.12,1993,Unfurnished,13,26,32,8,8,Low,No,Yes,"Pool, Clubhouse, Playground, Garden",East,Builder,Ready_to_Move
98056,Punjab,Amritsar,Locality_57,Villa,4,1756,428.82,0.24,2004,Unfurnished,12,22,21,10,8,High,No,Yes,"Clubhouse, Garden, Pool, Playground, Gym",West,Builder,Ready_to_Move
